DATE,AWHMAN,AWOTMAN,BUSLOANS,CE16OV,CES0600000007,CES1021000001,CLF16OV,CMRMTSPL,CUMFNS,DMANEMP,DPCERA3M086SBEA,DTCOLNVHFNM,DTCTHFNM,HOUST,HOUSTMW,HOUSTNE,HOUSTS,HOUSTW,INDPRO,IPB51222S,IPBUSEQ,IPCONGD,IPDCONGD,IPDMAT,IPFINAL,IPFPNSS,IPFUELS,IPMANSICS,IPMAT,IPNCONGD,IPNMAT,M1SL,M2REAL,M2SL,MANEMP,PAYEMS,REALLN,RPI,SRVPRD,UEMP15OV,UEMP15T26,UEMP27OV,UEMP5TO14,UEMPLT5,UEMPMEAN,UNRATE,USCONS,USFIRE,USGOOD,USGOVT,USTRADE,USWTRADE,W875RX1,WPSFD49207,WPSFD49502,WPSID61,WPSID62,ISRATIO
1998-09-01,41.3,4.7,912.4031,131986.0,40.6,557.8,138286.0,1042402.0,80.9624,10925.0,71.835,105549.1,369486.82,1582.0,314.0,145.0,713.0,410.0,86.3287,88.7634,77.7963,99.5708,89.2136,65.6416,93.2724,95.4656,66.1841,89.4599,76.7223,102.9105,110.863,1079.9,2610.2,4267.6,17557.0,126752.0,1275.0761,10238.095,102333.0,1688.0,772.0,916.0,1985.0,2624.0,14.4,4.6,6225.0,7624.0,24419.0,19985.0,14673.7,5767.4,8924.8,130.4,128.6,122.3,91.4,1.44
1998-10-01,41.4,4.8,931.3684,131999.0,40.9,553.1,138279.0,1051242.0,81.2606,10907.0,72.078,107350.02,371648.17,1715.0,355.0,167.0,833.0,360.0,86.9767,88.2855,78.6683,100.033,90.833,66.6732,93.9488,96.0824,66.4398,90.292,77.4029,102.8265,110.9343,1086.0,2628.2,4307.7,17512.0,126954.0,1283.9194,10258.055,102548.0,1582.0,723.0,858.0,1909.0,2823.0,14.1,4.5,6262.0,7646.0,24406.0,20001.0,14682.7,5764.8,8944.2,130.9,129.2,122.2,93.9,1.43
1998-11-01,41.4,4.8,942.2692,132280.0,40.8,548.7,138381.0,1055755.0,80.9233,10876.0,72.274,109014.09,374214.53,1660.0,325.0,142.0,791.0,402.0,86.9005,82.8159,78.6605,99.3266,90.6015,67.2652,93.4841,95.8019,68.0003,90.406,77.5463,101.9082,110.7721,1094.9,2648.6,4346.4,17465.0,127231.0,1302.4268,10307.997,102837.0,1590.0,715.0,875.0,1998.0,2510.0,14.5,4.4,6301.0,7665.0,24394.0,20044.0,14713.5,5775.2,8987.6,130.8,129.1,122.0,93.6,1.43
1998-12-01,41.5,4.8,939.2016,132602.0,41.1,546.1,138634.0,1063885.0,80.9767,10870.0,72.863,113500.58,377026.34,1792.0,427.0,162.0,763.0,440.0,87.2514,82.6019,78.8299,99.3978,91.3224,68.238,93.5375,95.9256,68.8912,90.94,78.145,101.6767,111.2564,1095.0,2661.3,4375.2,17449.0,127596.0,1311.3132,10333.504,103142.0,1559.0,756.0,803.0,1806.0,2587.0,14.0,4.4,6378.0,7682.0,24454.0,20079.0,14752.5,5790.2,9007.4,131.3,129.8,121.3,90.2,1.43
1999-01-01,41.3,4.8,937.8385,133027.0,40.7,536.9,139003.0,1062461.0,80.7858,10853.0,72.802,113575.77,377337.01,1748.0,304.0,150.0,837.0,457.0,87.6357,88.6811,78.8178,100.4122,91.4075,68.4429,94.1194,96.4642,70.3923,91.1851,78.3568,103.1003,111.3938,1098.1,2673.1,4402.6,17427.0,127702.0,1317.4634,10373.294,103301.0,1490.0,775.0,714.0,1993.0,2462.0,13.4,4.3,6357.0,7706.0,24401.0,20084.0,14777.6,5788.6,9034.3,131.7,130.3,121.2,91.0,1.42
1999-02-01,41.4,4.8,935.9811,132856.0,40.8,529.8,138967.0,1078887.0,81.0867,10846.0,73.147,116087.59,379472.4,1670.0,299.0,175.0,852.0,344.0,88.1298,83.3827,79.4182,100.8451,92.1762,69.1575,94.6099,96.8992,71.0212,91.9739,78.9154,103.3716,112.1436,1096.7,2686.9,4425.3,17395.0,128120.0,1320.1409,10417.25,103686.0,1551.0,749.0,801.0,1946.0,2566.0,13.8,4.4,6429.0,7714.0,24434.0,20144.0,14843.1,5810.1,9076.3,131.2,129.5,120.8,89.0,1.41
1999-03-01,41.3,4.8,944.3963,132947.0,40.5,527.3,138730.0,1077299.0,80.6837,10843.0,73.497,116099.98,381845.61,1710.0,353.0,157.0,817.0,383.0,88.2987,89.5367,79.3751,100.6132,91.9083,69.7641,94.4301,96.7541,70.4947,91.9502,79.4311,103.1581,112.374,1096.6,2689.4,4432.1,17368.0,128227.0,1326.2362,10430.593,103849.0,1472.0,758.0,714.0,1905.0,2473.0,13.4,4.2,6402.0,7722.0,24378.0,20168.0,14858.3,5814.9,9082.4,131.5,130.0,121.1,89.6,1.42
1999-04-01,41.3,4.8,947.2213,132955.0,40.7,521.0,138959.0,1075505.0,80.589,10834.0,73.937,118630.56,383575.87,1553.0,347.0,142.0,672.0,392.0,88.4947,88.9656,79.7861,100.4928,92.9226,70.5325,94.4171,96.8003,72.0591,92.2609,79.7919,102.5247,112.2513,1101.6,2688.8,4460.7,17344.0,128597.0,1331.9527,10402.17,104172.0,1480.0,782.0,698.0,1848.0,2781.0,13.3,4.3,6480.0,7734.0,24425.0,20237.0,14909.7,5822.3,9066.9,132.1,130.8,121.9,91.3,1.42
1999-05-01,41.4,4.8,942.3588,133311.0,40.7,515.3,139107.0,1091280.0,80.8829,10832.0,74.278,117287.14,391322.7,1611.0,348.0,147.0,706.0,410.0,89.0447,87.52,80.6404,101.4138,93.7913,71.0892,95.237,97.4971,72.1366,93.0074,80.1781,103.457,112.4587,1103.8,2702.0,4485.3,17333.0,128808.0,1341.0117,10427.595,104363.0,1505.0,787.0,718.0,1789.0,2511.0,13.4,4.2,6516.0,7746.0,24445.0,20229.0,14937.8,5829.3,9088.6,132.3,131.0,122.2,96.8,1.4
1999-06-01,41.3,4.9,949.7382,133378.0,40.8,511.7,139329.0,1092393.0,80.335,10817.0,74.591,121127.59,397369.78,1559.0,353.0,166.0,681.0,359.0,88.9802,88.9228,80.3801,100.4505,93.3327,71.7028,94.5003,96.9714,72.0016,92.7777,80.6292,102.2816,113.1046,1099.8,2715.2,4507.2,17295.0,129089.0,1347.1605,10466.837,104655.0,1624.0,812.0,812.0,1773.0,2521.0,14.3,4.3,6547.0,7761.0,24434.0,20272.0,14964.2,5837.4,9123.1,132.4,131.3,122.6,97.0,1.4
